#wl,fl,unc,lq,uq,n
##double,double,double,double,double,int
1168.5000,9.06400,0.12456,5.8150,11.5720,534
1169.5000,9.45000,0.14087,5.5690,12.1280,542
1170.5000,9.10500,0.13634,5.6480,11.9550,535
1171.5000,9.61700,0.11684,6.5480,11.9580,536
1172.5000,9.63100,0.11474,7.0140,12.3270,536
1173.5000,9.89000,0.11733,6.8430,12.3010,541
1174.5000,10.00400,0.13040,6.8610,12.8990,536
1175.5000,10.20900,0.12233,7.1820,12.8780,542
1176.5000,10.28900,0.13377,6.8170,13.0970,551
1177.5000,10.10200,0.12370,6.9410,12.7590,553
1178.5000,9.81600,0.12311,6.9730,12.8150,563
1179.5000,10.11300,0.14523,6.3730,13.2650,563
1180.5000,10.29400,0.14788,6.3810,13.3800,560
1181.5000,9.87700,0.14312,6.2500,13.0660,567
1182.5000,9.84300,0.13533,6.7700,13.2940,581
1183.5000,10.66100,0.12852,7.5530,13.6950,571
1184.5000,10.87100,0.14186,7.0840,13.9110,579
1185.5000,10.66700,0.13133,7.2290,13.6360,595
1186.5000,10.71000,0.12970,7.5300,13.8040,585
1187.5000,10.36400,0.14530,6.7570,13.8870,602
1188.5000,11.69300,0.14772,7.2450,14.5180,606
1189.5000,11.70500,0.13627,8.0720,14.8030,610
1190.5000,12.14700,0.14298,7.9120,15.0610,625
1191.5000,12.49100,0.14589,8.6090,15.9270,629
1192.5000,13.20600,0.14663,9.1430,16.4630,623
1193.5000,13.19300,0.16340,8.2700,16.5570,643
1194.5000,13.11300,0.15932,8.5470,16.6080,640
1195.5000,13.04200,0.16547,8.5350,16.8480,631
1196.5000,14.52600,0.13777,10.8200,17.8180,645
1197.5000,14.99600,0.16153,10.1270,18.3570,649
1198.5000,14.56100,0.15546,10.0900,18.0170,650
1199.5000,14.92100,0.18241,10.1850,19.5860,664
1200.5000,15.64600,0.17480,11.1860,20.1400,656
1201.5000,16.74800,0.17533,11.9590,21.0560,673
1202.5000,16.73800,0.19235,11.6940,21.6370,668
1203.5000,17.01700,0.20504,11.5540,22.1130,663
1204.5000,18.33600,0.19324,13.5630,23.6410,680
