observationStartMJD,fieldRA,fiveSigmaDepth,airmass,fieldDec,filter,ra,dec,id
62089.15797453704,40.333092,23.26205813503886,1.0612715117799791,-49.754501,u,40.0,-50.0,16
61997.426666666666,40.333092,24.18913225658652,1.064243980664984,-49.754501,g,40.0,-50.0,16
59883.22850694445,40.333092,25.03688648790419,1.0720060559338556,-49.754501,g,40.0,-50.0,16
60565.3280787037,40.333092,25.016324820596864,1.0612272106497525,-49.754501,g,40.0,-50.0,16
60612.19488425926,40.333092,23.93030786711622,1.061782626608002,-49.754501,u,40.0,-50.0,16
63180.182291666664,40.333092,24.797903086059414,1.062402284461442,-49.754501,g,40.0,-50.0,16
62059.238703703704,40.333092,23.330181985315658,1.0612393654720098,-49.754501,u,40.0,-50.0,16
62090.16490740741,40.333092,24.322856277752354,1.0619935534843172,-49.754501,g,40.0,-50.0,16
63191.169120370374,40.333092,24.27889897113963,1.0702280028576632,-49.754501,g,40.0,-50.0,16
60977.20866898148,40.333092,24.596423179453712,1.0615180993019604,-49.754501,g,40.0,-50.0,16
60977.18703703704,40.333092,24.45942050979564,1.064673628434311,-49.754501,g,40.0,-50.0,16
63191.14488425926,40.333092,24.355355698071783,1.0613454186992282,-49.754501,g,40.0,-50.0,16
61967.434652777774,40.333092,23.912905817550598,1.1035948133705689,-49.754501,g,40.0,-50.0,16
60607.230729166666,40.333092,24.686005920868052,1.0636091923011664,-49.754501,g,40.0,-50.0,16
60906.40025462963,40.333092,23.483405322182758,1.0611232924270695,-49.754501,u,40.0,-50.0,16
63131.283217592594,40.333092,24.612849044758708,1.0675585569876034,-49.754501,g,40.0,-50.0,16
63181.187002314815,40.333092,23.28612898600621,1.065129931863281,-49.754501,u,40.0,-50.0,16
60607.21644675926,40.333092,25.015147695281787,1.0612495631317882,-49.754501,g,40.0,-50.0,16
62856.059594907405,40.333092,23.769396147986537,1.0609848160927724,-49.754501,u,40.0,-50.0,16
62739.36236111111,40.333092,24.795551009919063,1.064690325693891,-49.754501,g,40.0,-50.0,16
61382.08744212963,40.333092,23.206607768796914,1.0619083989867582,-49.754501,u,40.0,-50.0,16
62001.40081018519,40.333092,23.633238117455928,1.0611049624965232,-49.754501,u,40.0,-50.0,16
60641.12994212963,40.333092,23.377606428367073,1.0615541246935036,-49.754501,u,40.0,-50.0,16
62739.34900462963,40.333092,24.765880746392703,1.0723735560078655,-49.754501,g,40.0,-50.0,16
61649.38502314815,40.333092,24.824512316069207,1.0671085707112238,-49.754501,g,40.0,-50.0,16
61287.33252314815,40.333092,24.177937539349397,1.067035545590251,-49.754501,g,40.0,-50.0,16
59883.20866898148,40.333092,25.066925132955806,1.062147499575385,-49.754501,g,40.0,-50.0,16
62113.12972222222,40.333092,25.076301663994496,1.0776734118278692,-49.754501,g,40.0,-50.0,16
62469.143472222226,40.333092,24.566259675073884,1.0687319025967095,-49.754501,g,40.0,-50.0,16
63473.330613425926,40.333092,24.70083565533712,1.0802064580458905,-49.754501,g,40.0,-50.0,16
62795.239224537036,40.333092,25.07469121605336,1.0631316393549586,-49.754501,g,40.0,-50.0,16
63215.07761574074,40.333092,23.3370533077869,1.0611586091839653,-49.754501,u,40.0,-50.0,16
60995.15571759259,40.333092,22.904961464907192,1.0612545845020158,-49.754501,u,40.0,-50.0,16
61272.395462962966,40.333092,24.93469271140356,1.061197981185007,-49.754501,g,40.0,-50.0,16
60204.31554398148,40.333092,23.474327177804128,1.0611842163922152,-49.754501,u,40.0,-50.0,16
63151.26138888889,40.333092,23.15507970728398,1.062307595613491,-49.754501,u,40.0,-50.0,16
60291.0828125,40.333092,23.560424395302764,1.0612401948735948,-49.754501,u,40.0,-50.0,16
62797.21978009259,40.333092,23.332960251572405,1.0612549362058152,-49.754501,u,40.0,-50.0,16
62090.18537037037,40.333092,24.457922362223485,1.0715741600906388,-49.754501,g,40.0,-50.0,16
61656.34133101852,40.333092,24.599981105616852,1.0613496176901664,-49.754501,g,40.0,-50.0,16
60965.271898148145,40.333092,24.54389508692312,1.0771653901831213,-49.754501,g,40.0,-50.0,16
62795.210486111115,40.333092,24.946369764928907,1.0641602488049118,-49.754501,g,40.0,-50.0,16
63124.32512731481,40.333092,23.5045719594704,1.0611414654721905,-49.754501,u,40.0,-50.0,16
63212.08101851852,40.333092,23.362397609588733,1.0613196634000899,-49.754501,u,40.0,-50.0,16
61265.416493055556,40.333092,23.398231807742242,1.0612563454294341,-49.754501,u,40.0,-50.0,16
60168.40896990741,40.333092,23.516470792847528,1.062193999710555,-49.754501,u,40.0,-50.0,16
62443.188252314816,40.333092,23.330529766881398,1.0610386917194536,-49.754501,u,40.0,-50.0,16
